MatchID,RoundID,Country,Year,Winner,Runners.Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,TotalAttendance,Datetime,Stage,Stadium,City,Home.Team.Name,Home.Team.Goals,Away.Team.Goals,Away.Team.Name,Win.conditions,Attendance,Half.time.Home.Goals,Half.time.Away.Goals,Referee,Referee_Country_Initials,Assistant.1,Assistant1_Country_Initials,Assistant.2,Assistante2_Country_Initials,Home.Team.Initials,Away.Team.Initials,Team.Initials,Coach.Name,Coach_Country_Initials,Line.up,Shirt.Number,Player.Name,Position,Event
364,,,,,,,,,,,,1990-06-19T17:00:00Z,Group D,Renato Dall Ara,Bologna ,Yugoslavia,4,1,"rn"">United Arab Emirates", ,27833,2,1, Shizuo TAKADA,JPN, Peter MIKKELSEN,DEN, Michel VAUTROT,FRA,YUG,UAE,YUG, Ivica OSIM,BIH,true,1,Tomislav IVKOVIC,GK,
377,308,Mexico,1986,Argentina,Germany FR,France,Belgium,132,24,52,2394031,1986-06-06T12:00:00Z,Group D,Jalisco,Guadalajara ,Brazil,1,0,Algeria, ,48000,0,0, MOLINA Romulo MENDEZ,GUA, BAZAN Jose Luis MARTINEZ,URU, Joel QUINIOU,FRA,BRA,ALG,BRA, Tele SANTANA,BRA,true,1,CARLOS,GK,
378,,,,,,,,,,,,1986-06-12T12:00:00Z,Group D,Tecnologico,Monterrey ,Algeria,0,3,Spain, ,23980,0,1, Shizuo TAKADA,JPN, Edwin PICON-ACKONG,MRI, Carlos ESPOSITO,ARG,ALG,ESP,ALG, Rabah SAADANE,ALG,true,1,Nasser DRID,GK,O20'
379,,,,,,,,,,,,1986-06-03T12:00:00Z,Group D,Tres de Marzo,Guadalajara ,Algeria,1,1,Northern Ireland, ,22000,0,1, Valeri BUTENKO,RUS, Andre DAINA,SUI, Zoran PETROVIC,SRB,ALG,NIR,ALG, Rabah SAADANE,ALG,true,21,Larbi EL HADI,GK,
388,3469,,,,,,,,,,,1986-06-25T16:00:00Z,Semi-finals,Estadio Azteca,Mexico City ,Argentina,2,0,Belgium, ,114500,0,0, RAMIREZ Antonio MARQUEZ,MEX, MOLINA Romulo MENDEZ,GUA, VALENTE Carlos Alberto SILVA,POR,ARG,BEL,ARG, Carlos BILARDO,ARG,true,18,Nery PUMPIDO,GK,
389,308,,,,,,,,,,,1986-06-10T12:00:00Z,Group A,Estadio OlÃ¯Â¿Â½mpico Universitario,Mexico City ,Argentina,2,0,Bulgaria, ,65000,1,0, MORERA Berny ULLOA,CRC, FILHO Romualdo ARPPI,BRA, BAZAN Jose Luis MARTINEZ,URU,ARG,BUL,ARG, Carlos BILARDO,ARG,true,18,Nery PUMPIDO,GK,
392,714,,,,,,,,,,,1986-06-22T12:00:00Z,Quarter-finals,Estadio Azteca,Mexico City ,Argentina,2,1,England, ,114580,0,0, Ali BENNACEUR,TUN, MORERA Berny ULLOA,CRC, Bogdan DOTCHEV,BUL,ARG,ENG,ARG, Carlos BILARDO,ARG,true,18,Nery PUMPIDO,GK,
393,3467,,,,,,,,,,,1986-06-29T12:00:00Z,Final,Estadio Azteca,Mexico City ,Argentina,3,2,Germany FR, ,114600,1,0, FILHO Romualdo ARPPI,BRA, Erik FREDRIKSSON,SWE, MORERA Berny ULLOA,CRC,ARG,FRG,ARG, Carlos BILARDO,ARG,true,18,Nery PUMPIDO,GK,Y85'
394,308,,,,,,,,,,,1986-06-05T12:00:00Z,Group A,Cuauhtemoc,Puebla ,Italy,1,1,Argentina, ,32000,1,1, Jan KEIZER,NED, RAMIREZ Antonio MARQUEZ,MEX, Alan SNODDY,NIR,ITA,ARG,ITA, Enzo BEARZOT,ITA,true,1,Giovanni GALLI,GK,
395,,,,,,,,,,,,1986-06-02T12:00:00Z,Group A,Estadio OlÃ¯Â¿Â½mpico Universitario,Mexico City ,Argentina,3,1,Korea Republic, ,60000,2,0, ARMINIO Victoriano SANCHEZ,ESP, ROA Gabriel GONZALEZ,PAR, PALACIO Jesus DIAZ,COL,ARG,KOR,ARG, Carlos BILARDO,ARG,true,18,Nery PUMPIDO,GK,
